distance_to_side_deg,camera_pitch_true_deg,centerline_noise_std_deg,repeats,seed,n_total,n_success,n_failure,failure_rate,yaw_mae_deg_successful,yaw_rmse_deg_successful,yaw_p95_abs_error_deg_successful,alpha_mae_deg_successful,alpha_rmse_deg_successful,alpha_p95_abs_error_deg_successful,alpha_catastrophic_rate_overall,min_clean_projection_norm
30.0,-45.0,2.0,50,20260714,1200,1200,0,0.0,1.633535971965194,2.0971812305912656,4.144032385961304,1.0471100372436515,1.387922059534406,2.9004173893877505,0.0,0.3538540983507117
0.25,0.0,2.0,50,20260714,1200,872,328,0.2733333333333333,5.815353280863398,15.599901496436841,44.75,14.882139708314348,20.542733726006844,40.67267872222527,0.6608333333333334,0.00436330928474646
0.5,0.0,2.0,50,20260714,1200,991,209,0.17416666666666666,5.197944086820484,14.556185468844221,44.5,13.907266112728713,19.156157677081026,39.15167020844076,0.5891666666666666,0.008726535498373897
1.0,0.0,2.0,50,20260714,1200,1123,77,0.06416666666666666,3.894896407971679,11.921505914060289,44.0,10.719789872619213,14.810642153076417,31.085040359984244,0.4483333333333333,0.017452406437283477
2.0,0.0,2.0,50,20260714,1200,1189,11,0.009166666666666667,1.8463023019013634,6.1862414509018,2.9315806988578053,7.280154105272769,10.112993565396593,20.177863566991817,0.2675,0.034899496702500955
3.0,0.0,2.0,50,20260714,1200,1200,0,0.0,1.3038560535976917,2.6447817776343028,2.999999942704221,5.129242970724609,7.183173283946244,14.736973698445784,0.14083333333333334,0.05233595624294384
5.0,0.0,2.0,50,20260714,1200,1200,0,0.0,1.2573808897904164,1.6821670936884856,3.5686085445067017,3.0473595891938348,4.134520890557145,8.440008777923632,0.0175,0.08715574274765814
7.5,0.0,2.0,50,20260714,1200,1200,0,0.0,1.2837352797795512,1.7345267943722966,3.6065371626885505,2.0645642528160315,2.74031793832087,5.463504749715212,0.0008333333333333334,0.1305261922200516
10.0,0.0,2.0,50,20260714,1200,1200,0,0.0,1.304306382311263,1.7505878616917379,3.6189086357922595,1.6059739921552945,2.089528045723059,4.099054556167681,0.0,0.1736481776669303
15.0,0.0,2.0,50,20260714,1200,1200,0,0.0,1.3823611457928893,1.8375936945847047,3.753245954742148,1.20431357734839,1.5263975477853673,3.017289160316586,0.0,0.25881904510252074
20.0,0.0,2.0,50,20260714,1200,1200,0,0.0,1.5031265022369815,1.9778568910139331,3.9796695807469287,1.0443479557884838,1.3060110059645629,2.542288733088466,0.0,0.3420201433256687
30.0,0.0,2.0,50,20260714,1200,1200,0,0.0,1.8731776329809346,2.4212652437468516,4.827588544333618,0.943395878111531,1.1662835660283195,2.254292613032818,0.0,0.4999999999999998
0.25,45.0,2.0,50,20260714,1200,859,341,0.2841666666666667,12.347413744382013,29.541024296551427,89.74999994270422,22.090530041837596,27.096732476864876,51.5414989079584,0.8041666666666667,0.08720518300004719
0.5,45.0,2.0,50,20260714,1200,977,223,0.18583333333333332,10.675516296347162,27.159620640963688,89.49999994270422,18.255495862191612,23.30271794773796,46.358207069532874,0.7,0.08735333363894474
1.0,45.0,2.0,50,20260714,1200,1106,94,0.07833333333333334,6.90131004127858,20.66942071271514,44.0,13.674236418424622,18.45154077648415,38.78586045934334,0.53,0.08794340731209116
2.0,45.0,2.0,50,20260714,1200,1183,17,0.014166666666666666,3.0529720577778714,12.044415224665357,3.9682825755974362,9.328087066658599,13.589332517232567,27.823991652593758,0.3433333333333333,0.09026461969963236
3.0,45.0,2.0,50,20260714,1200,1197,3,0.0025,1.6283717362266243,5.377140142866261,2.999999942704221,6.6231670727596965,9.783151741219507,21.00829535189743,0.2325,0.09400426113496403
5.0,45.0,2.0,50,20260714,1200,1200,0,0.0,1.3131353503588437,1.747534489815298,3.695778112589196,4.070930038936208,6.227257965926211,12.567030223487915,0.0925,0.10506729523385733
7.5,45.0,2.0,50,20260714,1200,1200,0,0.0,1.3224211224004216,1.7668336697503946,3.5980453120707803,2.678766885651143,4.107395704902299,8.1259467012312,0.030833333333333334,0.12380776978866906
10.0,45.0,2.0,50,20260714,1200,1200,0,0.0,1.3356607032451786,1.7874883051754074,3.5746618903896366,2.0537615586525355,3.1209607860722266,6.4738553049955,0.0125,0.14596655059545288
15.0,45.0,2.0,50,20260714,1200,1200,0,0.0,1.3662462014099326,1.819661097696151,3.675516588389294,1.4579232621980958,2.106206842083352,4.460742697344491,0.0016666666666666668,0.1954818346651023
20.0,45.0,2.0,50,20260714,1200,1200,0,0.0,1.4127623195886307,1.8744648133659252,3.733220577575422,1.205033788032892,1.677108724702352,3.5519398870152687,0.0,0.2479070610078218
30.0,45.0,2.0,50,20260714,1200,1200,0,0.0,1.5520064891132317,2.045149034190607,4.189977983700733,1.0333655578051817,1.3721020216686148,2.8084702055056705,0.0,0.35385409835071163

