schema_version,solver_version,observation_model,objective,centerline_direction_convention,experiment,experiment_label,noise_std_deg,camera_pitch_true_deg,camera_roll_true_deg,n_total,n_success,n_failure,failure_rate,yaw_mae_deg,yaw_rmse_deg,yaw_bias_deg,yaw_error_std_deg,yaw_median_abs_error_deg,yaw_p95_abs_error_deg,yaw_max_abs_error_deg,blade_mae_deg,blade_rmse_deg,blade_bias_deg,blade_error_std_deg,blade_median_abs_error_deg,blade_p95_abs_error_deg,blade_max_abs_error_deg,mean_direction_sse,mean_max_abs_collinearity_residual,mean_min_directed_scale,alpha_step_deg,yaw_step_deg,side_exclusion_deg,base_seed,group_seed,configured_repeats,effective_repeats,refinement_enabled,max_refine_seeds
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,centerline_error,Blade centerline angular noise,0.0,-45.0,0.0,816,816,0,0.0,1.0867124193978003e-13,5.777944531241889e-13,-1.3932210505100003e-16,5.777944363269965e-13,2.842170943040401e-14,2.2737367544323206e-13,1.0487610779819079e-11,5.816697885879251e-14,2.643551999548383e-13,-2.3510605227356255e-15,2.643447450916719e-13,1.4210854715202004e-14,1.8474111129762605e-13,4.490630090003833e-12,4.442634985397574e-29,1.1237866876330168e-15,0.5619198644893755,5.0,5.0,5.0,20260713,21260713,5,1,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,centerline_error,Blade centerline angular noise,1.0,-45.0,0.0,4080,4080,0,0.0,0.969363486659654,1.3087783374331705,0.019823261466747587,1.3086282034402112,0.7569009880705977,2.6896244141045393,6.581409093734237,0.6225909961545598,0.8601315606776925,-0.009374995843911233,0.8600804678207555,0.4687603201014028,1.7036888754698796,8.151141642473732,0.0002350990184157896,0.009887396032132718,0.5617758998891392,5.0,5.0,5.0,20260713,21260813,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,centerline_error,Blade centerline angular noise,2.0,-45.0,0.0,4080,4080,0,0.0,1.9038609829862128,2.5794611222754718,0.02804884232647685,2.579308617396294,1.454772175850053,5.28611412231166,11.914728787796406,1.2219211860456254,1.6943022530164793,0.043149262828778914,1.693752716807873,0.9004086370166213,3.3687947519762194,17.814078984087644,0.0009106252491763408,0.019387636241178716,0.5599111378945008,5.0,5.0,5.0,20260713,21260913,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,centerline_error,Blade centerline angular noise,4.0,-45.0,0.0,4080,4080,0,0.0,3.76410511952381,5.039421361021157,-0.0716654763687726,5.038911758843685,2.9966423391511796,10.103361183124635,24.279768285920568,2.439368731103984,3.4643577070688814,0.16318947183111274,3.4605120313056332,1.79245183422778,6.859259101008005,28.738673044811932,0.003709026755091218,0.03921501176646498,0.556301887718774,5.0,5.0,5.0,20260713,21261013,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,centerline_error,Blade centerline angular noise,0.0,0.0,0.0,816,816,0,0.0,1.8885820210533553e-08,2.6889353568429423e-07,-4.882998615473708e-09,2.6884919538157836e-07,2.842170943040401e-14,2.2737367544323206e-13,5.159546617505839e-06,1.6499107091454324e-10,2.692832957919171e-09,1.2288517915655628e-10,2.6900276154715164e-09,7.105427357601002e-15,2.842170943040401e-14,6.283586628796911e-08,1.4009156449513574e-18,7.748488874302744e-11,0.7376533546248877,5.0,5.0,5.0,20260713,21270713,5,1,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,centerline_error,Blade centerline angular noise,1.0,0.0,0.0,4080,4080,0,0.0,2.240804517475065,3.614687506124852,0.016026241909623675,3.6146519786150026,1.1853269102406045,9.094434553048337,16.852344615048708,0.4876304200202016,0.6274843799261801,0.004586288167006645,0.627467619094557,0.40448265249851545,1.2038095395519197,3.5855746650561997,0.00029333502776134686,0.011115881266026074,0.7370029340486789,5.0,5.0,5.0,20260713,21270813,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,centerline_error,Blade centerline angular noise,2.0,0.0,0.0,4080,4080,0,0.0,3.936991746173232,6.0208430256083965,-0.10524936077027501,6.019923031989256,2.2625877700212556,14.840620222686004,29.99999994270422,0.9771309842636074,1.2500312977707637,0.002000719084325121,1.2500296966590854,0.8088374430081338,2.436618120054239,9.237642340759606,0.0011493825730081034,0.022195343562071975,0.7346718720564085,5.0,5.0,5.0,20260713,21270913,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,centerline_error,Blade centerline angular noise,4.0,0.0,0.0,4080,4080,0,0.0,6.646635639907669,9.417438257605227,0.13842441358013036,9.416420870879314,4.624768624994417,19.99999994270422,40.30089209736772,2.01849532688685,2.6094120437483648,0.05429496801215074,2.6088471152038744,1.6462168813388338,5.07610085395478,19.070141927772212,0.0047802210608724055,0.04513990572921549,0.7253349578700382,5.0,5.0,5.0,20260713,21271013,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,centerline_error,Blade centerline angular noise,0.0,45.0,0.0,816,816,0,0.0,5.402214623352526e-14,3.400940479939808e-13,-1.9853399969767506e-15,3.400882531138477e-13,2.842170943040401e-14,1.1368683772161603e-13,6.366462912410498e-12,3.136488889960638e-14,1.5414438188029064e-13,-9.769962616701378e-15,1.5383445093907e-13,1.4210854715202004e-14,7.815970093361102e-14,2.7711166694643907e-12,8.629860626408154e-30,6.039896441771052e-16,0.5619198644893753,5.0,5.0,5.0,20260713,21280713,5,1,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,centerline_error,Blade centerline angular noise,1.0,45.0,0.0,4080,4080,0,0.0,0.9502862947417854,1.284152978001847,-0.0005708327938113534,1.2841528511282967,0.727686970535359,2.610858011217373,6.3737940451425175,0.6130665966746757,0.827314233352648,-0.020108780151612788,0.8270698142652129,0.4696862539834754,1.5952245734213715,5.724164848963383,0.00022613874827750031,0.00964682558289227,0.5613851656879211,5.0,5.0,5.0,20260713,21280813,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,centerline_error,Blade centerline angular noise,2.0,45.0,0.0,4080,4080,0,0.0,1.9569343267203305,2.6459775758181547,-0.059426658369666444,2.6453101527056395,1.4932171249833175,5.528987036987826,12.54910731585187,1.2456336947624091,1.7249986104252049,-0.048373283184616665,1.7243202229988572,0.927173077152645,3.3540738845255853,15.622543533805036,0.000946131199184108,0.019673542083307693,0.5603837798691503,5.0,5.0,5.0,20260713,21280913,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,centerline_error,Blade centerline angular noise,4.0,45.0,0.0,4080,4080,0,0.0,3.754761466648678,5.046642458025674,-0.013858430055871802,5.046623429884956,2.9694122671328245,9.999999942704221,22.78954050923312,2.4550297410293314,3.472361852652143,-0.1555684741872625,3.468875219086566,1.8338901105638499,6.493534072041558,36.209069735760124,0.003692911631361245,0.039395450462510403,0.5559489527149575,5.0,5.0,5.0,20260713,21281013,5,5,True,4
